,precision,recall,f1-score,support
0-50,0.6581005586592179,0.5872382851445663,0.6206533192834562,1003.0
50-100,0.5506182380216383,0.6715362865221489,0.6050955414012739,2122.0
100-150,0.3963855421686747,0.4089496581727781,0.4025695931477516,1609.0
150-200,0.31377777777777777,0.332391713747646,0.32281664380429814,1062.0
200-250,0.3208020050125313,0.2006269592476489,0.24686595949855353,638.0
250-300,0.3137254901960784,0.19138755980861244,0.237741456166419,418.0
300-350,0.3010752688172043,0.12280701754385964,0.17445482866043613,228.0
350+,0.6004390779363337,0.6465721040189125,0.6226522481502561,846.0
accuracy,0.4804441079989907,0.4804441079989907,0.4804441079989907,0.4804441079989907
macro avg,0.4318654948236821,0.3951886980257716,0.40410619876405557,7926.0
weighted avg,0.46832307016034896,0.4804441079989907,0.4694057132093165,7926.0
