price_category
50-100
50-100
50-100
50-100
150-200
150-200
300-350
50-100
50-100
100-150
50-100
50-100
50-100
150-200
200-250
350+
0-50
150-200
0-50
0-50
0-50
100-150
350+
150-200
150-200
0-50
350+
50-100
50-100
200-250
250-300
350+
50-100
50-100
350+
250-300
100-150
100-150
100-150
50-100
0-50
300-350
350+
100-150
200-250
250-300
100-150
50-100
100-150
50-100
50-100
0-50
350+
100-150
150-200
350+
150-200
150-200
100-150
50-100
100-150
150-200
350+
50-100
50-100
50-100
100-150
100-150
50-100
250-300
0-50
50-100
350+
250-300
250-300
50-100
250-300
50-100
50-100
100-150
300-350
100-150
250-300
250-300
100-150
300-350
100-150
0-50
50-100
50-100
100-150
50-100
200-250
200-250
100-150
50-100
50-100
50-100
50-100
350+
200-250
150-200
0-50
200-250
200-250
350+
50-100
100-150
300-350
200-250
150-200
50-100
350+
50-100
200-250
50-100
100-150
200-250
100-150
0-50
150-200
350+
0-50
100-150
50-100
0-50
0-50
50-100
100-150
200-250
300-350
50-100
350+
0-50
350+
250-300
350+
200-250
50-100
50-100
150-200
250-300
50-100
350+
300-350
50-100
0-50
350+
100-150
50-100
150-200
50-100
350+
100-150
0-50
100-150
0-50
50-100
150-200
100-150
200-250
150-200
350+
100-150
50-100
100-150
0-50
150-200
50-100
0-50
100-150
150-200
150-200
100-150
50-100
100-150
350+
50-100
150-200
100-150
100-150
50-100
150-200
50-100
350+
350+
350+
100-150
50-100
50-100
0-50
200-250
350+
300-350
150-200
150-200
0-50
50-100
100-150
350+
50-100
50-100
100-150
50-100
0-50
50-100
50-100
0-50
100-150
100-150
50-100
50-100
100-150
100-150
150-200
100-150
200-250
50-100
100-150
250-300
300-350
200-250
50-100
50-100
100-150
350+
50-100
50-100
50-100
100-150
100-150
100-150
50-100
250-300
250-300
100-150
50-100
150-200
100-150
50-100
50-100
50-100
200-250
50-100
150-200
150-200
50-100
100-150
300-350
100-150
350+
50-100
100-150
50-100
100-150
100-150
100-150
100-150
50-100
50-100
250-300
50-100
250-300
100-150
100-150
100-150
150-200
50-100
150-200
0-50
0-50
100-150
350+
250-300
350+
50-100
50-100
350+
50-100
100-150
350+
150-200
50-100
100-150
150-200
50-100
350+
0-50
100-150
150-200
300-350
50-100
200-250
0-50
150-200
350+
100-150
50-100
150-200
200-250
50-100
300-350
50-100
100-150
150-200
50-100
250-300
50-100
100-150
100-150
150-200
150-200
100-150
100-150
350+
200-250
50-100
150-200
0-50
100-150
150-200
100-150
350+
100-150
50-100
350+
150-200
100-150
0-50
100-150
350+
150-200
200-250
0-50
50-100
0-50
100-150
50-100
50-100
150-200
50-100
50-100
50-100
50-100
350+
0-50
50-100
150-200
150-200
0-50
100-150
50-100
50-100
200-250
250-300
100-150
350+
0-50
0-50
50-100
350+
350+
50-100
300-350
350+
150-200
350+
300-350
200-250
150-200
150-200
100-150
0-50
350+
350+
150-200
50-100
100-150
250-300
100-150
350+
100-150
50-100
50-100
150-200
100-150
100-150
0-50
250-300
100-150
200-250
300-350
100-150
50-100
50-100
100-150
350+
200-250
300-350
250-300
100-150
0-50
300-350
0-50
50-100
150-200
350+
50-100
50-100
250-300
50-100
150-200
100-150
100-150
300-350
50-100
100-150
100-150
100-150
50-100
100-150
0-50
150-200
350+
100-150
100-150
150-200
0-50
100-150
100-150
100-150
150-200
50-100
100-150
50-100
50-100
150-200
100-150
0-50
100-150
350+
100-150
0-50
100-150
50-100
100-150
0-50
0-50
150-200
350+
350+
100-150
50-100
50-100
0-50
350+
200-250
350+
150-200
50-100
50-100
300-350
300-350
100-150
250-300
150-200
300-350
50-100
0-50
50-100
350+
